名称,年份,数据
病原体,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021']","[171, 159, 127, 133, 121, 90, 48, 85, 179, 10, [...]]"
病原体,"['2005', '2007', '2008', '2009', '2011', '2012', '2015', '2016', '2017', '2018']","[1, 2, 2, 2, 1, 3, 2, 3, 1, 1, [...]]"
病原体,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021']","[143, 165, 141, 136, 156, 97, 84, 117, 248, 14, [...]]"
病原体,"['2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']","[28, 32, 20, 29, 22, 35, 25, 20, 28, 26, [...]]"
病原体,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021']","[40333, 44234, 43221, 41009, 42517, 37208, 23050, 38144, 28332, 1240, [...]]"
病原体,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021']","[1606, 1655, 1486, 1343, 1576, 1585, 1327, 1925, 1461, 96, [...]]"
病原体,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021']","[73, 95, 88, 91, 92, 74, 35, 50, 91, 5, [...]]"
病原体,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021']","[1457, 1445, 1501, 1189, 1380, 1496, 1280, 1471, 1039, 17, [...]]"
病原体,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021']","[20, 17, 34, 16, 29, 23, 17, 44, 108, 6, [...]]"
病原体,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021']","[35, 58, 67, 46, 69, 61, 51, 72, 77, 5, [...]]"
病原体,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021']","[55, 67, 64, 47, 54, 51, 30, 67, 97, 6, [...]]"
病原体,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021']","[55, 56, 73, 65, 46, 55, 24, 56, 84, 3, [...]]"
病原体,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021']","[44, 53, 49, 39, 65, 33, 29, 32, 73, 2, [...]]"
病原体,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021']","[22083, 23646, 26035, 24042, 30883, 32019, 27885, 41642, 33852, 1316, [...]]"
病原体,"['2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']","[1, 7, 2, 4, 7, 7, 7, 1, 3, 4, [...]]"
病原体,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021']","[7631, 8290, 8577, 7934, 8938, 8570, 5717, 10701, 9863, 346, [...]]"
病原体,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021']","[120, 116, 117, 112, 113, 95, 58, 88, 104, 3, [...]]"
病原体,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021']","[54, 64, 54, 47, 63, 41, 27, 41, 89, 9, [...]]"
病原体,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021']","[7631, 8290, 8577, 7934, 8938, 8570, 5717, 10701, 9863, 345, [...]]"
